Country,Year,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Education_Index,Population,Urbanization_Rate,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Climate_Index,Work_Life_Balance,Internet_Access,Crime_Rate,Political_Stability,Employment_Rate
China,2022,7.14,1545.3,0.16,57.95,0.88,-0.05,0.73,15.07,0.74,1182035012,62.76,7.61,0.32,86.65,47.52,4.78,55.81,5.76,57.65,55.75,0.87,77.17
USA,2016,4.26,19437.82,0.06,61.64,0.34,0.4,0.54,19.24,0.67,794092399,47.09,6.28,0.18,99.21,59.04,9.19,90.83,3.38,60.4,34.03,0.93,50.94
Brazil,2017,6.89,11290.22,0.27,51.1,0.27,0.32,0.88,9.33,0.71,1066050516,42.08,5.09,0.39,59.22,23.72,6.13,40.02,6.84,89.37,17.01,0.18,77.49
South Africa,2013,7.79,35753.3,0.61,71.28,0.85,0.05,0.83,14.93,0.55,986828784,46.74,4.62,0.56,49.31,48.35,6.46,49.56,4.26,82.72,62.99,0.94,94.69
India,2006,6.48,16000.89,0.12,69.91,0.39,0.28,0.53,5.71,0.93,600834744,56.45,4.68,0.37,61.95,40.99,2.43,38.47,8.16,72.49,58.9,0.07,60.02
France,2009,5.98,16280.91,0.47,53.4,0.71,-0.07,0.07,14.55,0.98,607562350,78.58,4.11,0.62,41.16,25.82,6.16,32.95,7.33,57.31,54.82,0.91,63.52
South Africa,2017,5.3,29811.95,0.63,70.83,0.15,0.07,0.57,2.25,0.74,251445940,79.74,6.76,0.66,64.53,46.34,7.34,73.11,7.6,51.12,77.54,0.77,81.18
Australia,2020,4.82,39508.65,0.85,84.95,0.76,0.06,0.36,4.27,0.61,1305581977,39.8,4.66,0.1,94.88,51.98,3.21,93.05,4.72,58.19,11.66,0.91,89.4
Canada,2020,4.77,8156.98,0.23,83.06,0.55,-0.03,0.54,9.65,0.83,1153906674,63.17,8.33,0.7,51.66,26.59,9.87,39.06,6.8,91.12,40.43,0.37,80.8
France,2007,6.18,11355.18,0.82,50.09,0.27,0.41,0.65,2.22,0.73,1203958694,54.96,8.91,0.9,68.66,51.74,9.32,85.7,6.17,90.06,49.39,0.94,82.24
India,2008,6.76,15583.31,0.23,77.84,0.49,0.28,0.64,10.32,0.63,1490904811,64.26,6.48,0.03,74.36,23.72,9.94,56.55,4.61,63.21,35.04,0.82,65.68
China,2015,6.39,58451.14,0.68,62.38,0.7,-0.0,0.67,11.41,0.52,1085840336,68.86,6.25,0.55,50.79,43.66,4.88,73.27,7.87,57.9,56.86,0.33,50.48
France,2018,3.99,24432.0,0.43,52.23,0.01,-0.03,0.68,13.19,0.94,1315861830,46.78,5.74,0.6,59.81,51.94,8.58,83.46,6.3,88.65,72.94,0.34,90.31
Australia,2007,5.47,36340.42,0.11,60.36,0.64,-0.19,0.11,3.81,0.9,1363528042,85.15,7.19,0.71,94.68,25.84,4.63,79.71,4.14,64.54,58.79,0.36,97.77
USA,2020,6.96,15251.03,0.71,61.26,0.54,0.04,0.19,5.26,0.91,395618128,86.13,7.04,0.39,57.74,42.86,7.99,39.57,4.83,42.13,49.86,0.59,91.59
China,2019,5.38,29937.11,0.22,68.31,0.22,0.17,0.63,13.04,0.72,816792056,36.32,5.72,0.82,78.12,37.0,9.58,38.08,4.36,59.02,61.65,0.18,69.08
South Africa,2014,5.68,5373.03,0.18,73.14,0.75,-0.01,0.41,13.85,0.88,880066069,72.18,5.72,0.54,48.22,44.29,3.24,94.69,4.87,73.4,17.67,0.43,66.89
China,2013,6.86,3049.79,0.36,76.22,0.3,0.29,0.76,2.47,0.79,146223809,31.99,7.22,0.41,80.19,36.97,3.12,35.56,4.13,91.95,54.1,0.07,96.07
UK,2015,6.31,28655.28,0.65,58.61,0.28,0.09,0.12,11.73,0.69,1121832990,32.79,6.77,0.72,56.75,30.04,2.84,45.29,5.23,63.35,38.51,0.36,97.44
Australia,2020,5.05,24520.9,0.23,61.26,0.47,0.02,0.19,16.13,0.92,1039568362,87.47,7.59,0.93,53.88,30.15,8.39,60.68,7.16,53.21,32.32,0.67,79.39
France,2014,7.48,9075.94,0.18,60.79,0.68,0.46,0.56,3.24,1.0,1417620551,71.69,8.71,0.81,47.45,54.59,7.33,87.47,8.76,61.15,45.5,0.59,74.69
UK,2021,3.81,41568.48,0.01,62.7,0.93,-0.02,0.5,9.44,0.95,43315438,49.47,7.9,0.93,42.81,26.26,6.18,72.18,4.26,43.14,66.33,0.32,74.78
China,2023,7.98,59581.31,0.47,84.99,0.14,0.08,0.27,7.88,0.89,151269252,70.19,5.52,0.27,98.07,24.92,8.19,69.98,4.8,89.44,38.88,0.26,59.69
UK,2006,3.59,24343.16,0.43,77.23,0.4,0.07,0.41,18.45,0.87,524046919,80.75,7.8,0.12,64.83,23.88,8.8,78.44,3.01,41.84,59.17,0.33,84.95
Germany,2006,3.07,37848.96,0.23,84.12,0.07,-0.03,0.03,5.34,0.83,237437665,82.25,6.25,0.53,86.66,22.97,9.6,86.15,4.35,40.05,51.22,0.07,58.21
Australia,2010,7.45,57815.58,0.05,74.26,0.76,-0.05,0.04,7.73,0.93,175743077,31.23,7.89,0.04,95.21,20.58,3.61,46.28,5.51,73.78,74.13,0.26,60.06
Brazil,2023,4.22,50060.56,0.43,64.22,0.45,0.01,0.09,18.17,0.75,667227651,79.09,8.43,0.67,52.24,26.42,5.53,31.32,5.77,48.47,41.14,0.71,82.36
USA,2012,6.65,28349.58,0.79,63.64,0.71,0.4,0.58,7.95,0.59,1193625990,81.19,5.25,0.24,92.19,27.71,9.38,38.9,4.6,56.28,67.39,0.18,91.73
China,2007,7.06,44511.88,0.72,67.1,0.32,0.34,0.86,11.56,0.88,1419699579,65.73,5.19,0.45,82.48,30.79,5.69,41.56,3.9,67.0,68.94,0.14,81.96
Australia,2018,7.29,8559.97,0.86,64.59,0.84,0.28,0.26,2.59,0.96,385920053,58.79,6.16,0.66,74.68,24.96,5.9,32.8,6.38,83.57,42.49,0.85,72.8
Brazil,2020,7.96,31214.13,0.01,78.99,0.53,0.12,0.03,19.73,0.67,503643300,36.66,4.26,0.48,88.54,23.77,9.54,82.33,5.46,61.31,44.2,0.24,83.37
Brazil,2005,4.47,17464.56,0.97,66.28,0.94,0.16,0.71,16.85,0.89,582855062,44.38,7.43,0.24,46.64,41.66,7.88,91.94,5.56,92.64,33.34,0.25,71.84
India,2007,6.55,10508.66,0.34,60.35,0.08,-0.01,0.86,13.42,0.64,277374742,59.43,7.75,0.88,55.82,48.75,6.42,79.75,8.37,64.93,44.69,0.46,81.4
UK,2022,3.58,26150.57,0.99,77.12,0.51,-0.15,0.14,3.09,0.97,508723751,81.9,5.73,0.76,47.86,45.21,4.86,43.2,6.37,90.6,27.45,0.47,87.46
Brazil,2013,5.03,8729.86,0.25,79.9,0.77,0.03,0.39,3.35,0.84,776989624,78.19,6.33,0.6,93.76,42.27,9.32,72.45,5.33,64.88,70.08,0.19,50.71
Germany,2010,7.24,42240.12,0.47,64.72,0.6,0.15,0.16,11.81,0.78,447453657,59.76,6.95,0.7,45.93,37.62,2.07,66.44,4.52,68.39,27.49,0.56,60.51
Australia,2005,4.84,27918.16,0.35,73.37,0.02,-0.16,0.11,7.13,0.89,417489970,77.14,4.37,0.42,98.8,45.36,4.57,87.4,5.57,92.69,28.03,0.7,83.75
Canada,2014,5.96,32337.53,0.36,52.06,0.97,-0.14,0.65,13.21,0.91,137180316,75.94,7.56,0.38,46.59,56.07,9.57,95.96,8.17,77.12,72.7,0.48,69.27
Canada,2010,5.52,9636.18,0.84,68.53,0.3,-0.02,0.97,12.77,0.95,528699553,64.74,6.63,0.16,79.71,45.1,5.99,82.01,8.79,48.22,47.25,0.9,75.06
China,2016,6.23,9246.53,0.75,51.57,0.25,0.06,0.68,17.1,0.95,435833481,43.22,7.12,0.8,79.63,22.43,6.99,65.88,5.26,72.92,17.36,0.99,82.88
South Africa,2008,7.86,35421.51,0.99,51.02,0.49,0.08,0.98,7.06,0.53,1140083974,50.88,7.62,0.38,95.87,42.82,6.26,65.77,4.25,52.39,34.2,0.53,75.27
UK,2017,3.28,59115.58,0.61,71.45,0.54,-0.12,0.43,12.4,0.56,173826571,39.84,7.38,0.69,59.39,40.97,5.18,86.55,8.49,57.03,59.38,0.97,90.17
South Africa,2021,5.87,6678.78,0.46,60.62,0.77,-0.04,0.9,15.99,0.91,247060321,30.43,4.48,0.3,59.92,38.08,7.32,38.58,3.87,86.1,38.41,0.65,68.2
Brazil,2012,7.32,17858.15,0.09,75.99,0.39,-0.02,0.21,10.83,0.97,829547858,34.83,7.91,0.8,90.78,42.75,8.13,40.73,4.78,77.52,39.62,0.53,83.21
Australia,2024,5.41,52298.09,1.0,81.36,0.44,-0.15,0.12,16.95,0.65,948753088,75.58,7.05,0.11,98.71,46.9,4.92,54.05,4.22,55.78,44.91,0.87,70.42
China,2007,3.39,5264.05,0.55,54.88,0.53,0.03,0.7,4.36,0.5,867574791,32.01,7.57,0.63,41.81,21.49,6.72,82.3,6.39,40.26,25.58,0.97,75.41
France,2016,5.8,52677.26,0.7,75.36,0.39,-0.15,0.37,15.21,0.66,1160683177,53.99,5.31,0.81,78.12,39.21,2.66,34.62,5.45,69.21,39.68,1.0,55.46
Brazil,2011,4.66,31932.87,0.41,68.01,0.91,0.29,0.32,18.97,0.69,987034693,89.15,5.11,0.66,54.62,52.69,6.38,54.1,4.72,53.76,25.07,0.76,89.91
UK,2016,3.77,25087.74,0.55,53.92,0.85,0.07,0.67,7.97,0.88,1114932471,77.71,8.13,0.7,83.68,41.23,7.98,52.3,7.61,41.56,34.55,0.49,65.36
Canada,2006,7.25,19271.15,0.94,72.81,0.45,0.03,0.33,8.59,0.52,968039751,75.04,5.95,0.53,86.36,22.71,6.68,64.0,6.98,43.48,47.27,0.3,64.46
India,2018,5.61,18529.91,0.17,71.33,0.0,-0.11,0.57,3.5,0.61,136582181,46.48,6.88,0.56,85.75,51.0,9.03,62.46,8.97,77.03,58.56,0.56,54.26
Australia,2009,7.67,19042.35,0.29,68.05,0.9,-0.04,0.3,13.55,0.95,685541575,68.5,6.76,0.07,66.13,57.65,4.29,80.01,4.87,62.79,54.37,0.78,74.31
USA,2013,7.03,53203.38,0.15,82.43,0.12,-0.04,0.78,11.94,0.58,690276820,59.92,6.93,0.25,49.47,54.07,5.93,73.79,8.07,54.44,50.29,0.03,70.06
South Africa,2015,6.46,43703.92,0.79,68.24,0.24,0.49,0.31,2.73,0.88,550493280,67.43,4.35,0.72,75.09,34.5,2.7,93.19,4.82,88.38,51.69,0.27,54.75
China,2009,3.03,40513.66,0.06,84.67,0.15,0.38,0.53,15.54,0.68,1198076678,56.15,5.51,0.95,87.34,41.39,7.6,42.65,3.05,85.38,45.76,0.35,86.08
South Africa,2007,5.14,48126.2,0.08,67.82,0.18,-0.19,0.02,16.93,0.83,23229107,61.86,4.33,0.54,94.73,43.65,5.54,60.25,3.91,65.64,53.02,0.78,53.19
Australia,2021,3.99,16169.77,0.3,54.05,0.8,0.23,0.79,18.33,0.54,989672101,89.3,6.4,0.73,67.16,48.63,6.24,58.01,6.05,55.16,36.29,0.61,56.96
South Africa,2006,7.55,37464.53,0.51,66.47,0.58,-0.02,0.62,11.82,0.64,744235903,49.76,8.51,0.68,54.74,46.64,3.03,37.88,7.86,67.89,72.96,0.43,72.11
Australia,2005,3.87,28143.91,0.41,56.38,0.96,-0.13,0.19,10.15,0.71,1069756652,42.99,5.95,1.0,47.13,27.96,9.98,41.54,3.34,81.41,51.34,0.92,67.17
South Africa,2011,4.43,47164.06,0.04,70.9,0.23,0.29,0.22,17.77,0.93,1265581319,56.91,7.91,0.8,87.86,53.72,8.18,53.56,7.99,40.59,75.56,0.54,63.22
Germany,2018,5.58,19246.11,0.96,74.26,0.49,-0.11,0.26,9.18,0.78,887598132,61.46,5.44,0.63,72.12,53.97,5.21,81.44,7.3,73.69,38.32,0.72,77.07
France,2009,4.32,38947.54,0.95,66.4,0.98,0.11,0.58,13.8,0.52,536052709,35.14,8.28,0.12,80.45,36.17,6.56,40.51,3.21,79.06,37.62,0.66,75.17
Brazil,2023,4.05,53050.53,0.28,53.42,0.83,0.24,0.55,13.08,0.9,1297490974,78.36,6.1,0.36,49.55,25.24,6.95,48.57,3.64,84.92,77.55,0.86,70.76
Brazil,2015,6.0,24726.88,0.73,66.4,0.73,0.19,0.27,8.7,0.53,718761774,55.32,5.78,0.25,40.39,44.34,9.69,77.35,3.45,51.91,61.03,0.81,87.26
UK,2006,3.44,4930.7,0.58,52.85,0.19,0.48,0.69,3.56,0.97,486214836,54.79,7.49,0.85,98.05,34.29,8.15,71.77,7.07,51.19,46.31,0.99,73.91
USA,2012,3.29,31447.0,0.24,73.87,0.77,0.35,0.89,2.39,0.61,677403508,69.53,6.56,0.45,88.65,49.66,4.8,37.31,6.37,51.86,60.3,0.38,96.98
USA,2013,4.86,21412.38,0.26,77.66,0.35,0.34,0.04,9.71,0.74,1062166907,76.39,5.69,0.54,64.0,32.63,9.82,96.06,5.15,91.23,37.77,0.16,88.49
UK,2007,6.6,40661.3,0.49,83.68,0.53,0.05,0.42,10.66,0.54,772186499,89.16,4.29,0.96,67.43,30.52,4.41,40.36,3.53,47.75,63.12,0.76,55.11
India,2006,5.77,57110.94,0.42,55.21,0.61,-0.19,0.59,16.81,0.78,293224166,40.41,4.83,0.84,95.74,54.71,6.62,34.3,5.36,82.06,24.67,0.87,63.15
Brazil,2011,5.11,29650.89,0.29,68.63,0.61,0.31,0.59,9.46,0.75,614623222,50.73,7.86,0.79,52.46,44.63,7.61,51.3,7.09,94.27,76.56,0.05,75.72
India,2009,5.83,28505.22,0.81,69.86,0.73,0.5,0.02,7.06,0.71,674271372,40.1,8.6,0.14,88.17,23.44,4.17,31.85,3.56,92.05,42.26,0.33,72.51
Australia,2009,4.83,39620.5,0.48,82.29,0.66,0.08,0.21,10.32,0.52,317058933,82.85,4.84,0.02,41.08,47.57,9.65,32.15,8.14,62.54,16.5,0.81,52.26
Australia,2024,7.68,7106.35,0.65,71.95,0.07,0.49,0.06,6.28,0.94,504415381,62.91,6.85,0.13,92.54,50.11,3.73,70.51,3.38,86.16,69.15,0.68,75.35
Canada,2017,3.27,15956.87,0.19,55.09,0.46,-0.1,0.57,3.64,0.9,1455866091,81.15,4.17,0.74,75.36,29.41,5.53,92.51,6.65,76.86,72.61,0.76,79.06
South Africa,2024,6.37,55219.78,0.53,65.27,0.66,0.01,0.65,4.03,0.82,1075817740,89.11,5.45,0.41,68.65,58.71,3.44,58.18,4.13,87.77,61.1,0.54,72.24
USA,2010,7.46,40526.61,0.32,72.92,0.3,-0.08,0.16,7.74,0.79,590234392,63.01,6.24,0.12,82.39,34.91,9.0,51.15,3.55,48.86,54.08,0.38,91.57
Canada,2024,7.02,1793.2,0.53,74.51,0.31,0.13,0.33,2.23,0.85,1462398918,37.09,7.68,0.74,44.06,57.62,3.77,94.02,5.13,82.07,74.99,0.81,76.72
France,2022,3.92,13072.9,0.78,80.21,0.12,0.36,0.33,5.96,0.57,1301522449,51.68,4.22,0.19,51.73,31.74,2.28,34.3,7.0,72.26,53.54,0.55,87.75
UK,2006,4.48,41287.4,0.77,56.32,0.42,0.04,0.82,16.18,0.97,1472633610,32.17,7.91,0.59,64.42,44.37,2.31,63.13,3.73,69.71,65.4,0.52,78.17
UK,2010,6.59,46099.55,0.35,83.3,0.99,0.43,0.19,6.22,0.64,14799477,80.96,5.01,0.74,77.07,40.7,5.31,47.68,5.85,80.09,42.99,0.73,93.65
Australia,2013,3.42,50551.71,0.69,52.07,0.29,0.18,0.55,3.99,0.83,1483676405,31.07,7.8,0.61,48.67,59.69,6.18,56.72,5.44,55.02,60.9,0.19,60.28
Brazil,2007,7.06,18238.43,0.94,84.43,0.53,0.13,0.78,19.08,0.8,292766117,65.53,7.13,0.99,62.77,36.33,2.33,58.76,5.56,44.1,79.93,0.59,89.92
India,2005,6.59,55930.69,0.63,80.02,0.74,0.35,0.83,13.2,0.82,1440656525,36.37,5.7,0.43,55.65,27.17,2.74,68.16,8.66,67.62,36.78,0.3,71.5
USA,2005,6.65,33623.87,0.15,73.11,0.01,-0.13,0.67,3.08,0.94,310803923,30.45,7.62,0.31,78.73,53.33,2.78,61.73,5.09,56.62,60.41,0.02,83.48
Canada,2023,3.5,42095.8,0.68,75.72,0.9,0.34,0.3,3.12,0.65,695581636,45.37,5.18,0.2,95.16,21.68,7.35,99.16,8.95,54.1,20.42,0.75,77.17
India,2009,6.59,36207.59,0.1,52.54,0.39,-0.03,0.82,13.02,0.87,872665587,63.11,5.1,0.5,49.96,55.4,4.4,31.79,6.23,94.92,54.46,0.47,55.23
Canada,2017,6.4,8241.66,0.87,51.45,0.87,-0.0,0.74,11.72,0.8,160605032,34.51,4.31,0.85,51.36,24.42,6.5,83.04,8.05,50.88,32.6,0.9,70.96
South Africa,2023,7.15,57823.76,0.52,53.56,0.04,0.22,0.7,3.23,0.54,1172539068,66.89,5.97,0.95,76.03,42.88,2.59,33.57,5.09,52.96,70.66,0.5,82.35
France,2016,3.21,8249.66,0.39,53.06,0.15,0.43,0.07,6.04,0.71,312263300,70.32,4.49,0.97,67.21,48.54,9.14,60.17,3.51,58.36,35.17,0.01,93.12
France,2020,3.12,16038.04,0.06,69.16,0.32,0.2,0.04,18.72,0.92,948099812,88.18,6.1,0.53,83.09,33.45,4.44,44.13,3.51,67.34,41.16,0.41,60.49
India,2023,4.87,49004.04,0.38,57.54,0.35,0.25,0.7,12.3,0.66,294794604,83.97,4.05,0.61,57.27,53.79,8.23,96.17,6.44,87.8,78.62,0.17,67.05
India,2007,3.74,37497.22,0.9,80.11,0.85,0.34,0.94,9.93,0.74,655543866,64.01,4.78,0.58,72.69,43.75,8.61,80.57,8.58,49.7,25.08,0.92,67.31
India,2016,5.79,50450.8,0.02,65.6,0.01,-0.02,0.77,6.5,0.74,395692022,77.6,8.66,0.47,63.21,35.81,9.9,62.4,3.43,73.88,49.53,0.45,75.17
Canada,2009,7.59,31428.44,0.47,74.34,0.64,0.38,0.83,4.41,0.81,673933252,51.82,7.98,0.15,56.88,33.01,7.93,96.66,7.13,60.27,70.46,0.51,91.42
South Africa,2006,4.96,23242.6,0.93,72.85,0.13,0.09,0.54,9.25,0.94,1333642040,65.14,5.18,0.07,83.76,24.48,5.54,80.49,6.38,83.83,32.04,0.37,68.99
Germany,2011,7.22,55388.88,0.39,61.19,0.82,-0.08,0.3,18.6,0.59,1168272068,54.2,7.59,0.44,87.75,45.61,3.22,96.64,6.91,73.1,11.07,0.52,57.05
India,2017,3.0,3138.89,0.43,58.51,0.78,0.05,0.68,2.88,0.75,831768571,50.22,7.34,0.19,59.74,34.56,2.38,79.32,4.29,83.73,72.74,0.08,74.31
Brazil,2019,3.84,51511.68,0.58,61.99,0.5,-0.03,0.71,19.84,0.71,873392918,73.66,4.88,0.89,77.38,32.82,9.09,35.44,3.42,87.03,53.37,0.46,51.81
USA,2007,3.15,14618.25,0.46,77.88,0.21,-0.04,0.68,5.74,0.65,722968505,47.8,5.86,0.76,50.72,58.0,5.57,73.14,3.45,90.17,26.13,0.66,66.53
USA,2024,4.64,51075.44,0.17,70.52,0.63,-0.0,0.95,9.36,0.96,1330208619,52.83,8.57,0.62,87.46,30.91,8.0,98.62,4.48,94.76,29.34,0.37,74.68
Canada,2009,7.54,9212.6,0.02,58.87,0.16,-0.07,0.37,2.81,0.5,266012520,52.03,7.69,0.05,56.88,55.06,5.97,44.99,4.28,74.04,65.97,0.39,74.85
India,2012,3.48,35232.92,0.61,78.62,0.19,0.27,0.04,12.53,0.56,148553614,82.22,7.8,0.62,50.26,59.0,9.04,85.49,3.76,75.06,54.95,0.84,89.34
Australia,2005,6.03,53398.37,0.92,51.92,0.63,0.21,0.91,10.7,0.87,1398823534,40.22,6.82,0.62,96.4,52.91,8.0,42.92,4.59,47.73,61.28,0.54,88.45
UK,2012,5.26,28938.84,0.11,74.47,0.99,0.25,0.16,14.0,0.63,501889895,52.89,7.33,0.44,65.35,20.78,2.68,61.66,6.2,45.78,50.41,0.59,63.57
Germany,2022,7.69,45047.43,0.21,65.37,0.89,0.04,0.7,11.77,0.86,127547067,83.27,6.54,0.66,78.61,54.74,8.02,35.93,8.7,66.82,65.3,0.3,64.45
Brazil,2024,3.61,48475.63,0.37,75.6,0.59,0.34,0.87,9.17,0.92,1191735320,30.92,7.7,0.86,88.55,28.54,4.13,53.84,8.53,78.15,67.47,0.48,97.12
South Africa,2020,4.06,44453.16,0.81,82.46,0.54,-0.11,0.31,15.28,0.63,222014579,86.87,7.66,0.76,81.17,34.13,8.18,84.34,4.63,53.65,37.08,0.05,68.79
Australia,2022,3.15,55594.45,0.27,76.25,1.0,0.2,0.83,2.45,0.6,112139104,83.93,4.16,0.47,73.88,59.66,9.59,33.17,3.4,57.99,73.07,0.43,56.86
France,2024,5.17,27363.22,0.88,65.47,0.55,-0.01,0.33,11.74,0.57,678822135,55.07,7.16,0.26,62.3,36.2,9.44,52.41,8.97,78.51,45.36,0.8,81.53
Australia,2016,4.39,11214.4,0.05,55.28,0.42,0.17,0.79,4.05,0.6,128161340,69.18,7.15,0.48,95.11,46.19,3.0,74.08,5.86,51.64,21.21,0.16,61.69
Canada,2017,7.35,3820.85,0.94,78.22,0.91,0.03,0.07,9.85,0.63,389500707,89.46,4.34,0.95,48.01,32.43,2.44,96.4,8.87,68.68,25.29,0.76,78.96
Germany,2017,6.02,15541.13,0.56,66.12,0.23,0.35,0.66,16.24,0.93,929210333,63.3,6.05,0.82,93.04,34.78,8.22,47.17,6.23,69.62,61.37,0.37,89.42
China,2014,6.07,9448.65,0.66,52.64,0.1,0.42,0.68,4.56,0.89,1283132357,35.81,8.49,0.03,82.59,43.91,7.68,42.12,8.32,90.43,36.41,0.03,58.34
China,2011,5.66,33918.98,0.37,75.17,0.63,0.32,0.49,18.84,0.5,1422356706,81.22,8.77,0.78,74.28,57.93,3.41,44.26,5.68,62.13,28.37,0.95,71.68
India,2018,3.46,11911.77,0.78,60.21,0.1,-0.08,0.69,17.99,0.94,33699745,38.05,7.91,0.17,59.48,31.3,7.48,46.58,6.73,51.58,52.33,0.18,68.38
India,2020,5.23,3297.09,0.17,51.71,0.37,-0.01,0.92,9.47,0.54,720520444,45.44,4.76,0.57,48.76,29.89,2.12,74.68,6.21,49.56,64.76,0.33,97.97
Canada,2019,8.0,3123.4,0.05,81.6,0.42,0.44,0.73,2.11,0.83,1497601168,82.41,5.87,0.81,66.59,21.05,7.05,99.91,4.32,56.12,17.65,0.48,84.16
South Africa,2016,7.18,50062.6,0.4,66.91,0.55,0.11,0.96,16.22,0.58,431537019,45.36,4.91,0.56,87.03,28.08,8.66,66.65,7.58,55.34,41.44,0.95,53.95
India,2013,7.47,35895.55,0.85,59.83,0.99,0.46,0.45,17.86,0.53,8503196,74.71,7.26,0.4,84.72,30.5,7.13,49.0,3.33,81.26,64.0,0.58,60.97
UK,2012,7.12,22127.03,0.75,75.07,0.22,0.07,0.53,5.15,0.88,1488145483,56.86,7.87,0.32,78.73,22.52,2.52,82.29,5.17,72.65,73.25,0.91,57.55
Germany,2022,3.52,53759.45,0.52,81.01,0.38,0.47,0.26,18.49,0.73,1341755886,75.58,8.42,0.31,99.55,42.54,9.93,41.08,8.22,77.53,10.95,0.56,50.73
Canada,2022,4.14,5141.6,0.57,50.01,0.13,0.45,0.99,18.45,0.8,314353553,43.94,8.3,0.84,98.36,25.07,4.85,32.1,6.02,74.67,55.93,0.21,65.16
USA,2017,3.02,58839.0,0.13,74.07,0.61,0.26,0.06,10.48,0.71,1090398856,55.17,4.5,0.83,64.0,40.44,5.04,72.37,3.47,66.47,51.82,0.56,65.57
France,2022,4.52,37361.22,0.84,76.85,0.73,-0.19,0.36,16.36,0.53,1252103806,49.09,4.63,0.82,51.55,27.56,2.68,44.72,4.25,91.06,46.24,0.1,61.28
Canada,2019,3.54,11824.39,0.79,57.35,0.48,0.08,0.3,10.01,0.87,1460423316,44.94,8.55,0.28,67.83,57.43,3.34,57.95,3.66,84.96,21.21,0.12,76.55
Canada,2008,5.36,41065.08,0.66,67.14,0.25,0.44,0.39,12.15,0.91,1284720004,48.87,8.22,0.8,90.67,32.28,4.17,46.18,4.67,51.6,61.93,0.12,60.49
China,2021,6.39,46039.49,0.47,53.13,0.62,0.42,0.92,7.76,0.52,181999349,49.38,6.3,0.04,67.51,23.72,8.39,94.26,3.99,63.3,37.5,0.01,95.17
Brazil,2009,7.37,26331.22,0.96,76.14,0.54,-0.07,0.37,4.87,0.69,1219811746,87.32,6.15,0.21,60.16,53.45,7.53,53.66,7.27,55.83,26.42,0.15,85.16
South Africa,2020,6.75,51836.32,0.88,79.66,0.17,0.08,0.92,15.44,0.78,438892284,61.99,6.76,0.51,84.47,36.08,6.67,61.44,6.96,81.01,69.5,0.35,55.83
Brazil,2013,7.69,9893.21,0.64,53.79,0.41,0.38,0.42,2.03,0.8,1435993623,57.72,6.98,0.41,79.01,52.8,8.91,46.44,3.81,58.95,31.49,0.07,62.91
UK,2014,3.27,17451.42,0.37,78.58,0.44,0.2,0.85,12.43,0.79,881835670,60.2,5.27,0.11,98.12,32.5,9.98,35.94,5.67,75.21,23.89,0.01,97.16
USA,2022,3.06,6516.05,0.62,77.0,0.98,0.39,0.52,17.56,0.85,496117419,89.77,6.02,0.04,72.96,40.0,5.08,65.88,4.78,56.07,31.84,0.11,59.61
China,2021,6.31,13441.79,0.58,62.14,0.85,0.38,0.31,5.98,0.98,758855519,69.22,7.1,0.61,98.05,37.81,5.13,90.81,5.02,49.44,22.67,0.94,55.61
USA,2022,4.45,15085.0,0.39,74.16,0.73,0.44,0.45,7.99,0.7,1458700510,72.21,5.03,0.31,57.46,42.32,7.89,54.62,6.46,40.51,64.41,0.53,61.15
UK,2011,4.27,55140.36,0.31,50.0,0.89,-0.12,0.42,12.57,0.78,1020277101,48.82,8.99,0.02,91.89,36.07,7.15,84.67,8.39,94.7,22.74,0.44,84.27
Brazil,2008,4.65,5608.47,0.41,82.61,0.74,-0.1,0.26,6.44,0.85,1008292168,58.29,5.41,0.43,61.06,39.87,2.11,32.28,8.38,52.07,60.17,0.49,74.86
Canada,2009,4.35,26217.49,0.57,69.26,0.9,-0.14,0.29,17.25,0.8,744135201,41.04,6.76,0.31,88.58,47.17,7.24,46.49,5.48,85.77,21.38,0.55,53.24
India,2020,5.56,32411.52,0.43,71.71,0.05,0.45,0.19,8.6,0.69,1126117953,71.11,6.77,0.58,95.56,36.59,7.76,39.2,5.36,85.21,25.84,0.11,67.37
India,2007,5.2,54022.89,0.26,73.26,0.46,0.13,0.34,12.47,0.81,1373349276,50.67,6.26,0.93,77.39,47.38,9.89,58.2,6.11,52.98,33.98,0.58,54.16
Australia,2022,5.56,59864.08,0.76,69.65,0.75,-0.15,0.62,6.07,0.83,257432463,74.9,5.21,0.31,83.71,48.57,6.69,92.6,5.84,62.86,76.5,0.83,63.95
France,2018,6.36,45449.9,0.53,79.99,0.58,0.03,0.39,2.74,0.79,1478546954,42.79,6.83,1.0,97.52,49.96,7.48,56.15,3.37,85.99,73.97,0.56,58.21
South Africa,2019,4.94,58276.67,0.07,71.34,0.18,0.05,0.71,5.13,0.6,1352027113,54.21,4.46,0.09,62.51,38.84,8.31,72.23,6.47,77.94,15.96,0.88,60.59
UK,2021,4.26,47438.97,0.37,81.77,0.34,0.37,0.99,2.83,0.75,404028231,58.27,5.93,0.09,70.7,20.15,2.77,92.87,6.51,60.34,33.51,0.14,87.35
